Datetime,Close,High,Low,Open,Volume
2026-06-10 00:00:00+00:00,61793.1484375,61852.78125,61663.078125,61699.21875,0
2026-06-10 00:15:00+00:00,61806.1015625,61828.44140625,61682.01171875,61789.609375,390512640
2026-06-10 00:30:00+00:00,61470.78125,61832.19921875,61413.171875,61802.37109375,146956288
2026-06-10 00:45:00+00:00,61877.94140625,61890.05078125,61453.96875,61483.37109375,15159296
2026-06-10 01:00:00+00:00,61783.71875,61931.9609375,61643.01171875,61865.76953125,146075648
2026-06-10 01:15:00+00:00,61790.03125,61852.19140625,61712.8515625,61788.171875,121266176
2026-06-10 01:30:00+00:00,61601.7109375,61854.3515625,61550.5,61804.01171875,16371712
2026-06-10 01:45:00+00:00,61677.98046875,61806.05078125,61575.01171875,61607.53125,204857344
2026-06-10 02:00:00+00:00,61522.0,61798.609375,61503.69140625,61679.26953125,717045760
2026-06-10 02:15:00+00:00,61445.05078125,61526.26953125,61304.0,61523.03125,231362560
2026-06-10 02:30:00+00:00,61325.0,61501.76171875,61254.05859375,61478.23046875,256229376
2026-06-10 02:45:00+00:00,61258.6796875,61345.9609375,61192.390625,61324.859375,241025024
2026-06-10 03:00:00+00:00,61391.73828125,61434.6796875,61235.41015625,61256.0,0
2026-06-10 03:15:00+00:00,61523.73046875,61533.98046875,61291.75,61390.30078125,672522240
2026-06-10 03:30:00+00:00,61480.25,61515.16015625,61395.80078125,61496.7890625,80396288
2026-06-10 03:45:00+00:00,61503.9609375,61542.6484375,61446.4296875,61480.23828125,571056128
2026-06-10 04:00:00+00:00,61459.8515625,61520.96875,61401.98828125,61503.9609375,0
2026-06-10 04:15:00+00:00,61425.62890625,61500.01953125,61406.98046875,61454.91015625,0
2026-06-10 04:30:00+00:00,61179.58984375,61420.8203125,61142.16015625,61420.80859375,32043008
2026-06-10 04:45:00+00:00,61248.1796875,61319.25,61145.890625,61179.640625,0
2026-06-10 05:00:00+00:00,61120.0,61268.96875,61080.328125,61257.7890625,84713472
2026-06-10 05:15:00+00:00,61211.37109375,61213.03125,61030.08984375,61104.87109375,834375680
2026-06-10 05:30:00+00:00,61232.37109375,61276.01171875,61142.171875,61225.0,0
2026-06-10 05:45:00+00:00,61301.98828125,61350.0,61164.5390625,61232.37109375,99229696
2026-06-10 06:00:00+00:00,61339.8515625,61379.05078125,61247.75,61310.51171875,0
2026-06-10 06:15:00+00:00,61295.62109375,61425.62890625,61270.0,61337.62109375,649560064
2026-06-10 06:30:00+00:00,61384.6015625,61403.25,61094.671875,61306.28125,137854976
2026-06-10 06:45:00+00:00,61418.1796875,61470.9296875,61367.921875,61384.6015625,317841408
2026-06-10 07:00:00+00:00,61520.0,61533.80078125,61379.94921875,61423.23828125,123756544
2026-06-10 07:15:00+00:00,61593.390625,61655.62109375,61514.7890625,61520.0,872701952
2026-06-10 07:30:00+00:00,61706.01171875,61738.94921875,61508.19921875,61591.98828125,62734336
2026-06-10 07:45:00+00:00,61621.44921875,61724.96875,61609.98828125,61707.98828125,417935360
2026-06-10 08:00:00+00:00,61568.01171875,61661.08984375,61488.0390625,61641.08984375,0
2026-06-10 08:15:00+00:00,61467.8203125,61684.87890625,61436.75,61578.2890625,40255488
2026-06-10 08:30:00+00:00,61189.98828125,61557.640625,61187.890625,61492.01953125,238456832
2026-06-10 08:45:00+00:00,61196.078125,61274.98828125,61114.03125,61149.98828125,257175552
2026-06-10 09:00:00+00:00,61010.921875,61268.5390625,61010.921875,61214.55859375,729088
2026-06-10 09:15:00+00:00,61158.921875,61194.19921875,60727.19921875,61017.98828125,206573568
2026-06-10 09:30:00+00:00,61215.44140625,61371.33984375,61134.0390625,61157.0390625,124014592
2026-06-10 09:45:00+00:00,61289.109375,61353.48828125,61103.98828125,61218.98046875,166481920
2026-06-10 10:00:00+00:00,61190.08984375,61297.44921875,61115.73828125,61264.421875,142299136
2026-06-10 10:15:00+00:00,61276.8203125,61306.0,61103.3515625,61184.859375,131518464
2026-06-10 10:30:00+00:00,61262.05859375,61400.71875,61215.51953125,61285.8984375,314773504
2026-06-10 10:45:00+00:00,61327.6015625,61363.53125,61231.37890625,61264.1484375,9515008
2026-06-10 11:00:00+00:00,61117.140625,61384.19140625,60828.94921875,61338.76171875,806842368
2026-06-10 11:15:00+00:00,60909.05859375,61203.12890625,60852.01171875,61120.140625,622067712
2026-06-10 11:30:00+00:00,60960.55859375,61004.21875,60863.96875,60915.80078125,410202112
2026-06-10 11:45:00+00:00,60977.46875,61056.640625,60925.69921875,60952.48046875,229969920
2026-06-10 12:00:00+00:00,61143.1015625,61177.109375,60904.87109375,60984.91015625,744583168
2026-06-10 12:15:00+00:00,61117.58984375,61171.19921875,60996.26953125,61116.171875,300617728
2026-06-10 12:30:00+00:00,61639.51171875,61839.83984375,61096.328125,61096.328125,709128192
2026-06-10 12:45:00+00:00,61512.98828125,61749.08984375,61512.98828125,61649.26953125,393232384
2026-06-10 13:00:00+00:00,61471.8984375,61557.640625,61442.1796875,61507.3203125,302473216
2026-06-10 13:15:00+00:00,61498.328125,61523.7890625,61380.8984375,61467.76171875,6418432
2026-06-10 13:30:00+00:00,62305.19140625,62313.30078125,61539.55859375,61539.55859375,232370176
2026-06-10 13:45:00+00:00,62090.41015625,62397.83984375,62021.109375,62334.078125,355348480
2026-06-10 14:00:00+00:00,61956.171875,62200.0,61956.171875,62083.55859375,0
2026-06-10 14:15:00+00:00,62000.01171875,62106.94140625,61812.80078125,61953.98046875,48099328
2026-06-10 14:30:00+00:00,61883.921875,62055.390625,61770.01171875,62014.1796875,0
2026-06-10 14:45:00+00:00,62132.9296875,62134.03125,61750.421875,61911.01171875,0
2026-06-10 15:00:00+00:00,61883.94140625,62361.0,61814.01171875,62154.55078125,16539648
2026-06-10 15:15:00+00:00,62202.0,62292.76171875,61802.44921875,61861.05078125,70426624
2026-06-10 15:30:00+00:00,62334.3984375,62360.73046875,62142.0,62195.6484375,0
2026-06-10 15:45:00+00:00,62581.51171875,62794.390625,62087.48828125,62337.0,626823168
2026-06-10 16:00:00+00:00,62265.51171875,62589.98828125,62265.51171875,62588.328125,0
2026-06-10 16:15:00+00:00,62225.23828125,62396.0,62051.98828125,62291.98828125,391581696
2026-06-10 16:30:00+00:00,62173.37890625,62343.16015625,62109.2109375,62217.5,0
2026-06-10 16:45:00+00:00,62165.9296875,62172.48828125,61869.69921875,62163.6015625,0
2026-06-10 17:00:00+00:00,62034.9609375,62308.0,61957.25,62162.48828125,0
2026-06-10 17:15:00+00:00,61832.0,62129.37890625,61832.0,62018.01171875,0
2026-06-10 17:30:00+00:00,61675.41015625,61850.890625,61596.921875,61838.48828125,109084672
2026-06-10 17:45:00+00:00,61914.58984375,61981.859375,61659.62109375,61670.33984375,272078848
2026-06-10 18:00:00+00:00,61897.9296875,62099.6015625,61857.9609375,61928.75,0
2026-06-10 18:15:00+00:00,61949.5,61949.5,61787.171875,61894.01171875,107853824
2026-06-10 18:30:00+00:00,61688.0,61953.19921875,61680.55859375,61940.53125,302757888
2026-06-10 18:45:00+00:00,61806.6484375,61827.46875,61557.3203125,61721.890625,0
2026-06-10 19:00:00+00:00,61681.578125,61878.94140625,61671.76171875,61805.80078125,0
2026-06-10 19:15:00+00:00,61727.3984375,61758.03125,61611.078125,61684.58984375,57073664
2026-06-10 19:30:00+00:00,61956.28125,61990.0,61724.51171875,61760.0,93503488
2026-06-10 19:45:00+00:00,61880.05859375,61977.62890625,61787.890625,61960.8203125,219103232
2026-06-10 20:00:00+00:00,61754.01171875,61889.26953125,61632.05078125,61889.26953125,367050752
2026-06-10 20:15:00+00:00,61849.26171875,61883.1484375,61678.0,61756.0,0
2026-06-10 20:30:00+00:00,61745.98046875,61863.98828125,61745.98046875,61831.80078125,103186432
2026-06-10 20:45:00+00:00,61738.0,61781.7890625,61645.7109375,61748.109375,135661568
2026-06-10 21:00:00+00:00,61485.421875,61737.37890625,61443.421875,61737.37890625,34140160
2026-06-10 21:15:00+00:00,61510.12890625,61628.71875,61464.96875,61505.71875,707899392
2026-06-10 21:30:00+00:00,61620.3984375,61654.01953125,61510.140625,61510.140625,176527360
2026-06-10 21:45:00+00:00,61294.46875,61628.69140625,61138.19921875,61621.578125,0
2026-06-10 22:00:00+00:00,61178.7890625,61297.828125,61109.55859375,61297.828125,667691008
2026-06-10 22:15:00+00:00,61191.6015625,61279.5390625,61043.98046875,61179.9609375,141627392
2026-06-10 22:30:00+00:00,61484.578125,61508.94140625,61190.71875,61190.71875,135421952
2026-06-10 22:45:00+00:00,61322.87890625,61487.640625,61312.0,61478.44921875,66015232
2026-06-10 23:00:00+00:00,61148.0,61322.87890625,61129.0,61322.87890625,0
2026-06-10 23:15:00+00:00,61491.98046875,61510.0,61102.0,61144.921875,166709248
2026-06-10 23:30:00+00:00,61483.44140625,61549.98828125,61413.921875,61487.6484375,100145152
2026-06-10 23:45:00+00:00,61452.0,61521.01171875,61416.48828125,61480.0,348792832
2026-06-11 00:00:00+00:00,61626.0,61631.4609375,61459.12109375,61460.08984375,34930688
2026-06-11 00:15:00+00:00,61823.98828125,61914.12890625,61631.5,61658.73046875,171954176
2026-06-11 00:30:00+00:00,61721.828125,61838.94140625,61708.01171875,61829.03125,645642240
2026-06-11 00:45:00+00:00,61759.98046875,61856.62890625,61738.03125,61738.03125,103221248
2026-06-11 01:00:00+00:00,61976.0,62050.6796875,61766.71875,61769.21875,382851072
2026-06-11 01:15:00+00:00,62116.0703125,62157.0703125,61968.0703125,61968.0703125,294316032
2026-06-11 01:30:00+00:00,62196.01171875,62294.03125,62036.76953125,62133.2890625,51693568
2026-06-11 01:45:00+00:00,62143.921875,62238.6015625,62118.01171875,62197.87890625,762734592
2026-06-11 02:00:00+00:00,62112.37109375,62217.28125,62047.62109375,62153.98828125,601729024
2026-06-11 02:15:00+00:00,61995.0703125,62238.12109375,61983.46875,62120.01171875,167593984
2026-06-11 02:30:00+00:00,62000.01171875,62030.890625,61870.0,62008.62890625,487444480
2026-06-11 02:45:00+00:00,62066.98828125,62155.0,61927.98828125,61989.48046875,19144704
2026-06-11 03:00:00+00:00,61994.01171875,62108.80859375,61935.30859375,62065.94921875,143941632
2026-06-11 03:15:00+00:00,62035.37890625,62053.73046875,61940.05078125,61992.58984375,110989312
2026-06-11 03:30:00+00:00,62294.8515625,62470.6015625,62038.4296875,62038.4296875,462104576
2026-06-11 03:45:00+00:00,62607.73046875,62712.5703125,62292.44921875,62292.44921875,500273152
2026-06-11 04:00:00+00:00,62592.30859375,62659.609375,62505.6796875,62611.23828125,402780160
2026-06-11 04:15:00+00:00,62547.55859375,62636.62109375,62525.6484375,62577.0,219770880
2026-06-11 04:30:00+00:00,62584.3984375,62609.640625,62472.9609375,62546.41015625,135110656
2026-06-11 04:45:00+00:00,62649.94921875,62778.94921875,62593.98046875,62599.0,212897792
2026-06-11 05:00:00+00:00,62549.4609375,62639.6796875,62479.69140625,62639.6796875,52903936
2026-06-11 05:15:00+00:00,62558.62890625,62648.640625,62503.578125,62545.98046875,199688192
2026-06-11 05:30:00+00:00,62625.3984375,62625.3984375,62520.01171875,62564.75,92209152
2026-06-11 05:45:00+00:00,62536.1015625,62634.7890625,62527.3203125,62625.58984375,102086656
2026-06-11 06:00:00+00:00,62707.16015625,62739.140625,62474.19921875,62543.33984375,85536768
2026-06-11 06:15:00+00:00,62799.69140625,62910.51953125,62666.01953125,62717.75,445569024
2026-06-11 06:30:00+00:00,62873.80859375,62916.3203125,62785.078125,62807.76171875,164554752
2026-06-11 06:45:00+00:00,62686.01171875,62873.98828125,62674.80078125,62873.98828125,297340928
2026-06-11 07:00:00+00:00,62580.0,62713.109375,62534.7109375,62686.01953125,274511872
2026-06-11 07:15:00+00:00,62714.390625,62726.69921875,62564.5,62564.5,57942016
2026-06-11 07:30:00+00:00,62601.1796875,62767.0,62535.66015625,62718.359375,0
2026-06-11 07:45:00+00:00,62642.98828125,62678.01953125,62601.1796875,62601.1796875,214067200
2026-06-11 08:00:00+00:00,62754.890625,62797.98828125,62639.890625,62639.890625,408010752
2026-06-11 08:15:00+00:00,62877.94921875,62877.94921875,62724.6796875,62746.62109375,168402944
2026-06-11 08:30:00+00:00,62782.69921875,62897.01171875,62774.28125,62877.94921875,240103424
2026-06-11 08:45:00+00:00,62888.0,62960.140625,62778.03125,62782.69921875,0
2026-06-11 09:00:00+00:00,62796.80859375,62894.19140625,62744.98828125,62878.8203125,564850688
2026-06-11 09:15:00+00:00,62748.640625,62797.5,62715.2890625,62778.01953125,91375616
